 pdb_code, activity
2POG,9.54
2P15,10.3
2Y5H,5.79
1LPG,7.09
2XBV,8.43
1Z6E,9.72
1MQ6,11.15
1NC3,5.0
1NC1,6.12
1Y6R,10.11
4F2W,11.3
4F3C,11.82
1UTO,2.27
4ABG,3.57
3GY4,5.1
1K1I,6.58
1O3F,7.96
2YGE,5.06
2FXS,6.06
2IWX,6.68
2WER,7.05
2VW5,8.52
4KZQ,6.1
4KZU,6.5
4J21,7.41
4J3L,7.8
3KR8,8.1
2YMD,3.16
2WNC,6.32
2XYS,7.42
2X00,11.33
3OZT,4.13
3OZS,5.33
3OE5,6.88
3OE4,7.47
3NW9,9.0
3AO4,2.07
3ZT2,2.84
3ZSX,3.28
4CIG,3.67
3ZSO,5.12
3N7A,3.7
4CIW,4.82
3N86,5.64
3N76,6.85
2XB8,7.59
3NQ9,4.03
3UEU,5.24
3UEV,5.89
3UEW,6.31
3UEX,6.92
3LKA,2.82
3EHY,5.85
3TSK,7.17
3NX7,8.1
4GR0,9.55
3DXG,2.4
3D6Q,3.76
1W4O,5.22
1O0H,5.92
1U1B,7.8
